ACTIVE,DOCUMENT_ID,TITLE,QUICK_CODE,SUMMARY,VERSION,REVISION,CAN_DOWNLOAD_BINARY,CAN_DOWNLOAD_CONTENT,LAST_MODIFIED_DATETIME,DOWNLOAD_AS_PDF,TYPE,SHOW_IN_OFFICE_ONLINE_VIEWER,IS_EDITABLE_FORM,IS_PRINTABLE,DOCUMENT_TYPE_ID,DOCUMENT_TYPE_NAME,DOCUMENT_TYPE_MINI_ID,DOCUMENT_TYPE_MINI_NAME,PRINT_HEADER_REQUIRED,CAN_BE_COMPARED,CAN_BE_EDITED,CAN_CHECK_DOCUMENT,MARKED_AS_FAVORITE,FOLDER_MINI_FOLDER_ID,FOLDER_MINI_FOLDER_NAME,FOLDER_MINI_FULL_PATH,STATE,CHECK_DATE,HAS_DELETE_PUBLISHED_PERMISSION,ORIGINAL_TYPE,LANGUAGE,DOWNLOAD_BINARY_EXTENSION,MIME_TYPE,OFFICE_PRINT_COVER_PAGE_MODE,ATTENTION_REQUIRED_FLAGS
True,02419bf3-0cdd-4744-9779-5ddb43f9fe35,Alternatieve werkinstructie bij GEEN account - Zorg in de Wijk,FB-84-YT,Mocht een zorgmedewerker tijdelijk geen toegang hebben tot ONS of Meddy wordt deze werkinstructie gevolgd. Deze werkinstructie is een workaround om het werk ook zonder ONS en/of Meddy goed te kunnen uitvoeren. Deze werkinstructie geldt ook voor ZZP. ,1,0,True,False,20250904142621,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,36,ONS/ECD,Cordaan\ONS/ECD,published,20230923,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0256de0e-653c-4430-85db-1fda4f4d8033,Senior inkoper,YM-54-TB,,1,0,True,False,20221205130204,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20260524,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_approaches""]"
True,02fc30a2-f49f-4ba2-af08-435d9e7a9d31,Processen En Applicaties (R005 1.11),VM-86-JX,Cordaan bedrijfsprocessen,1,0,True,False,20260417091137,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,26,Architectuur,Cordaan\ICT\Architectuur,published,20270417,False,none,nl-NL,pdf,application/pdf,not_used,
True,030f5ccb-07ef-48ec-b066-9a0361333c1d,Leidraad PICC lijn zorg - Zorg in de Wijk,46-FX-BK,In de leidraad wordt beschreven hoe de samenwerking tussen het GVT en het reguliere wijkteam leidt tot het (deels) verschuiven van PICC lijn zorg van GVT naar het reguliere wijkteam. De verpleegkundige in de wijk heeft hierin een grote coördinerende rol. ,2,0,True,False,20250115105813,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20260115,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0390b59d-5bfb-49e9-9527-488dfd66690c,Instructie inloggen inzageversie Medimo,85-YWK-2,,1,0,True,False,20251104101532,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20260901,False,none,nl-NL,pdf,application/pdf,not_used,
True,03fc0e0c-92be-429e-a63d-f59e0f1049d7,Dit vind ik ervan! (DVIE!) - Informatie voor verwanten,CX-42-WY,"Informatie om aan de verwant te geven, die binnenkort een Dit vind ik ervan! gesprek heeft met de begeleider, zodat de verwant zich kan voorbereiden op het gesprek.",1,0,True,False,20241028113322,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20261006,False,none,nl-NL,pdf,application/pdf,not_used,
True,041bbe3e-4c8c-4742-ba80-1b0f8834aa76,Tijdschrijven behandelaren VG - Toelichting ureninzet van de behandelaren,G-666-YT,,1,0,True,False,20250828110212,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20260828,False,none,nl-NL,pdf,application/pdf,not_used,
True,043f5624-d2c4-4b65-8e59-e20d68fba5c3,Doktersassistent 40,NP-BJ-87,,1,0,True,False,20221205130206,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20260530,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_approaches""]"
True,04b346cf-c08b-4c39-ae82-a9756d0853bb,Diversiteitskompas Zakkaartje,85-54-HM,Zakkaartje met informatie over het instrument het diversiteitskompas.,1,0,True,False,20250905141418,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20261005,False,none,nl-NL,pdf,application/pdf,not_used,
True,04caad5f-218f-48e4-b9e6-36e030b66552,Dashboard Toeslag extra werk,CMJ-57-K,,1,0,True,False,20260420063912,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,42,Dashboard leeswijzers,Cordaan\Cordaan Informatie Systeem (CIS)\Dashboard leeswijzers,published,20270420,False,none,nl-NL,pdf,application/pdf,not_used,
True,04d4cf5e-1c2b-41d7-8e07-3e89645cec38,Beleidsadviseur A - bijlage tbv de functie Beleidsadviseur Inkoop,88-WBJ-6,,1,0,True,False,20241202115843,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20261202,False,none,nl-NL,pdf,application/pdf,not_used,
True,055fef6d-a07c-4c74-9cee-bfd4f0b09942,Voorbeelden datalekken,GT-52-76,Dit document geeft een uitleg op datalekken en geeft meer inzicht in het begrip van het onderwerp en proces binnen Cordaan.,1,0,True,False,20251023112118,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,30,Privacy en informatiebeveiliging,Cordaan\Privacy en informatiebeveiliging,published,20260701,False,none,nl-NL,pdf,application/pdf,not_used,
True,056311e7-3ed3-4c86-9908-5d7c07bd9b1c,Verzorgende B (VGZ),NV-62-74,,1,0,True,False,20221205130205,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20260524,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_approaches""]"
True,05d64a0e-6d8b-4687-8cf3-3b86c2540e92,Manager Services,84-HBN-4,,2,0,True,False,20250707080044,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270707,False,none,nl-NL,pdf,application/pdf,not_used,
True,05e14c35-f063-4004-ad7e-ba93883d8ebc,Noodweerprotocol - ZidW,65-KB-CN,"Noodweerprotocol, stroomdiagram wat te doen bij welke KNMI weer waarschuwingen",1,0,True,False,20250206094334,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20270302,False,none,nl-NL,pdf,application/pdf,not_used,
True,06084460-3a89-41dc-b6ab-9754c2830043,Beleid Documentenbeheer Cordaan,2-MBG-77,,4,0,True,False,20250407073508,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20250506,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,068f95ed-4803-48ee-87e5-f8c722bf29bd,Flyer Management Traineeship,52-48-MN,Beschrijving van het wervingsproces van management trainees (Cordaan medewerkers met de ambitie om leiding te geven). Inhoudelijke beschrijving van het programma van het management traineeship. Het traineeship wordt elk jaar in januari opgestart en duurt 12 maanden.,5,0,True,False,20250909144052,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20270909,False,none,nl-NL,pdf,application/pdf,not_used,
True,06fba496-0d09-4dca-b1f9-e0aa3ab75ed4,Zo werken wij aan Leren & Ontwikkelen v1.0,24-PRQ-2,,1,0,True,False,20241023125116,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,19,HR,Cordaan\HR,published,20260716,False,none,nl-NL,pdf,application/pdf,not_used,
True,070b0985-71d3-40e0-bd3e-7d6feb729f70,werkinstructie kwaliteitsmonitor in ONS,25-FCG-6,,2,0,True,False,20221010133159,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,36,ONS/ECD,Cordaan\ONS/ECD,published,20260401,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,07cc43c4-3c1b-4a4c-b50f-28e8f0ca7137,Dashboard Omaha,J-682-NX,Leeswijzer bij het dashboard Omaha in het CIS,2,0,True,False,20260212122440,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,42,Dashboard leeswijzers,Cordaan\Cordaan Informatie Systeem (CIS)\Dashboard leeswijzers,published,20260611,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_approaches""]"
True,07d77773-557a-43d3-9941-c190574a809e,Ontruimingsplan Mulderplein,6-DBN-56,Ontruimingsplan Mulderplein versie februari 2026,2,0,True,False,20260217130511,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20270217,False,none,nl-NL,pdf,application/pdf,not_used,
True,0828b13e-da15-425c-af93-44c7a3068140,Functies en inzetcriteria ouderenzorg,28-KH-87,Functies en inzetcriteria domeinen WMZO en Zorg in de Wijk,3,0,True,False,20251222142818,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20271222,False,none,nl-NL,pdf,application/pdf,not_used,
True,08806423-0166-4cb5-8904-df9fbcdabe6e,Van huisregels naar locatieafspraken GGZ,47-KD-52,In het kader van herstelvisie worden handvatten geboden aan GGZ teams om samen met cliënten nieuwe huisregels in de vorm van locatieafspraken vorm te geven. ,6,0,True,False,20260512142212,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,36,ONS/ECD,Cordaan\ONS/ECD,published,20270523,False,none,nl-NL,pdf,application/pdf,not_used,
True,08c2b675-22f5-48b4-9727-a393cc22dcea,Inhuur van Personeel,HF-624-P,"In dit document vind je de afspraken met de vaste bureaus die Cordaan heeft gecontracteerd voor de inzet van uitzendkrachten, ZZP-ers en gedetacheerden. De afspraken gaan over tarieven en overnametermijnen. Ook is het inhuurproces per perceel beschreven.

",5,0,True,False,20230727122914,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20250727,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,08d675a0-51e5-4e02-8d62-279743383ab3,Visie op seksuele gezondheid (seksualiteit) VGZ,KCK-55-W,De visie op seksuele gezondheid (seksualiteit) vormt de basis voor het omgaan met de ondersteuningsvragen op dit gebied en biedt medewerkers richtlijnen voor hun professioneel handelen.,1,0,True,False,20210225082322,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20220225,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,08f8b024-ea3a-4ba6-b7c2-0c5927979745,Verzekeraars regelgeving ELV - GRZ indicatie,GQ-576-K,,9,0,True,False,20260204112550,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20270204,False,none,nl-NL,pdf,application/pdf,not_used,
True,096ccef2-6934-4228-b088-5d30817c2882,Adviseur medezeggenschap,78-72-JD,,1,0,True,False,20221205130201,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270401,False,none,nl-NL,pdf,application/pdf,not_used,
True,098f4528-41b2-4c66-919b-2416bea3d3f8,Vrijwilligersdossier: Declareren,M-286-HM,,1,0,True,False,20260114200123,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20251001,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,099ba22a-9421-45d1-b41b-c4999d6d8eb7,Profiel Persoonlijk Begeleider Jeugd,QC-XM-88,,1,0,True,False,20221205130206,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270403,False,none,nl-NL,pdf,application/pdf,not_used,
True,09ff8d00-873e-439b-a0e0-725820cfa671,Instructie lijst printen uit Medimo,DDV-64-D,Hoe lijsten te printen uit Medimo.,1,0,True,False,20251104101735,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20260901,False,none,nl-NL,pdf,application/pdf,not_used,
True,0a0a0486-3f0f-4061-b639-b0907d8a5721,Contractmanager,77-66-JR,"Functie: Contractmanager FWG functiegroep: 55 Functiecode: 01212 Doel van de functie Voeren van regie over de facilitaire contracten, het ontwikkelen van beleid ten aanzien van het vakgebied en het adviseren van management en directie...",1,0,True,False,20241210084144,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20261210,False,none,nl-NL,pdf,application/pdf,not_used,
True,0a15fafb-2c44-446e-8140-36d6bf7df9e5,Zorgcontinuïteitplan Marcantilaan,25-MRY-5,Zorgcontinuïteitplan Marcantilaan,1,0,True,False,20241008132642,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20260701,False,none,nl-NL,pdf,application/pdf,not_used,
True,0a331c6a-6c86-420c-b56a-aad5bbd905ca,Richtlijn persoonlijke gebeurtenissen,25-WJX-8,,3,0,True,False,20240115075500,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20260115,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0a34b5dd-258f-4a14-8370-bcb52b1e36da,Plannen en roosteren vakinhoudelijke theorie managers,TF-NQ-56,,1,0,True,False,20230816095926,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20250816,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0a3b5127-35e4-490c-9dd8-813205f3a664,Verlofregelingen cao GGZ,CD-887-Q,Verlofregelingen voor Zorgmedewerkers cao GHZ Als medewerker kun je in verschillende situaties verlof opnemen wanneer je zorg moet verlenen aan iemand met wie je een sociale relatie hebt waarbij het logisch is dat jij degene bent die de zorg moet ver,1,0,True,False,20251023134441,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20271023,False,none,nl-NL,pdf,application/pdf,not_used,
True,0ac2fc49-12d5-4cf4-998a-7e44705dc0c5,Ontruimingsplan Cordaan Zwanenburgwal,66-BG-77,Ontruimingsplan Cordaan Zwanenburgwal,1,0,True,False,20240702085739,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20261029,False,none,nl-NL,pdf,application/pdf,not_used,
True,0ae48d88-9fa4-4aef-b582-c5519d0b0f58,Addendum Casemanager AO,72-67-DK,,1,0,True,False,20221205130523,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20280127,False,none,nl-NL,pdf,application/pdf,not_used,
True,0b1f10f2-a4db-446f-87bd-462bf86cd9a9,Procedure Steunkoushulpmiddelen - ZidW,WWW-64-Q,"Procedure steunkoushulpmiddelen Zorg in de Wijk inclusief cliëntreis, werkwijze inzet en ondersteuning bij steunkousen, verantwoordelijkheden en bevoegdheden, overzicht afspraken verschillende leveranciers.",2,0,True,False,20240702123631,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20270129,False,none,nl-NL,pdf,application/pdf,not_used,
True,0b59b7d1-e880-489c-a124-3de59232e704,Infografic Diversiteitskoffer,77-HT-86,Informatie over de diversiteitskoffer - 2022,1,0,True,False,20250905141259,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20261120,False,none,nl-NL,pdf,application/pdf,not_used,
True,0bae4610-2f2b-4da0-a659-de0c97bbba77,Ontruimingsplan Eben Haezer,FT-JR-52,"Om de veiligheid van medewerkers, clienten en andere aanwezigen te waarborgen. ",2,0,True,False,20260217132546,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20270217,False,none,nl-NL,pdf,application/pdf,not_used,
True,0bebb393-f566-4c78-a68d-7cc1be954e1c,Vrijwilligersdossier: Vacature maken,44-22-XH,,1,0,True,False,20260114200208,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20251001,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0c67286c-fd5d-4afe-8bf9-40cd5bf5d3d6,Geslachtsaanpassing Youforce,5-WJQ-57,"Als je je geslachtsaanduiding wilt wijzigen, kun je dit doen in Mijn Youforce",1,0,True,False,20250320074835,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20270320,False,none,nl-NL,pdf,application/pdf,not_used,
True,0c724e09-ee1e-4d89-9e39-f369ecdc2d80,Zorgcontinuiteitplan In het Zomerpark,56-NH-RK,Om de zorgcontinuiteit van cliënten te waarborgen. ,1,1,True,False,20241008132643,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20260701,False,none,nl-NL,pdf,application/pdf,not_used,
True,0c8fa1db-5970-4a6c-b8c5-93f6bf58a3e3,Dashboard Doelmatigheid,Y-567-KR,Dit dashboard bevat informatie over de doelmatigheid (aantal uur zorg per cliënt) van cliënten met wijkverpleging.,3,0,True,False,20260212121237,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,42,Dashboard leeswijzers,Cordaan\Cordaan Informatie Systeem (CIS)\Dashboard leeswijzers,published,20260902,False,none,nl-NL,pdf,application/pdf,not_used,
True,0ca094bf-858d-499e-afe6-13c226c1128a,Sollicitatiecode,TK-525-H,,2,0,True,False,20240129133729,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,21,HR documenten,Cordaan\HR\HR documenten,published,20260129,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0cf850f7-ebfd-44f1-8a44-622a3e50ea17,Service coördinator ICT,78-BDX-6,,1,0,True,False,20221205130205,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,20,Functiebeschrijvingen,Cordaan\HR\Functiebeschrijvingen,published,20270401,False,none,nl-NL,pdf,application/pdf,not_used,
True,0cff3ac2-f59a-40ab-8908-26c6f17d261a,Inzage en afschrift zorgdossier,HV-PT-78,,2,0,True,False,20250317152224,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,37,Kwaliteit,Cordaan\Zorg inhoud\Kwaliteit,published,20261016,False,none,nl-NL,pdf,application/pdf,not_used,
True,0d084071-72ac-4e23-b9dc-d302b01a6033,IDEAL Betalingen via de Spend Cloud app,54-84-MF,Instructie voor het doen van iDealbetalingen via de Spend Cloud app.,5,0,True,False,20260331114539,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,22,Financiën,Cordaan\Financiën,published,20270326,False,none,nl-NL,pdf,application/pdf,not_used,
True,0d25a44e-58ad-4a38-bb21-e322884e3fb9,Zorgcontinuiteitplan De Diem,JJ-FM-77,Om de zorgcontinuiteit voor clienten te waarborgen. ,2,0,True,False,20241113150154,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20261029,False,none,nl-NL,pdf,application/pdf,not_used,
True,0d2c0d58-cfd4-4ea2-86a8-37a3e04b67e0,Euthanasieprotocol,67-62-FH,Het euthanasieprotocol beschrijft de werkwijze en verantwoordelijkheden van verschillende betrokkenen in de samenwerking in het proces rondom euthanasie. ,4,0,True,False,20251106162254,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20261106,False,none,nl-NL,pdf,application/pdf,not_used,
True,0d3c1a54-8c27-4b70-8355-6ff0cc676644,Medicatieproces VG,26-NB-HP,Uitgebreide versie van het medicatiebeleid VGZ en GGZ,3,0,True,False,20260310100524,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20270310,False,none,nl-NL,pdf,application/pdf,not_used,
True,0d8ac0c8-8be5-4d38-a144-af1b6709245e,Ontruimingsplan De Draad,72-KQ-VG,Ontruimingsplan de Draad met kleine aanpassingen september 2023,1,0,True,False,20241008132641,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,24,Facilitaire zaken,Cordaan\Facilitaire zaken,published,20260225,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0dabd314-6155-49cb-83b6-7a525e01fa3b,Begrippenkader palliatieve en terminale zorg Cordaan,TN-247-X,,3,0,True,False,20251216143530,True,file,False,False,True,2,Word document,2,Word document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20261030,False,none,nl-NL,pdf,application/pdf,not_used,
True,0e48b121-67d1-4aea-a305-f554a135ef20,Cordaan strategische koers presentatie,46-CXV-5,Dit document beschrijft de strategische koers voor Cordaan 2023-2033,2,0,True,False,20250625130221,True,file,False,False,True,4,PowerPoint document,4,PowerPoint document,True,False,False,False,False,39,Raad van Bestuur,Cordaan\Raad van Bestuur,published,20240808,False,none,nl-NL,pdf,application/pdf,not_used,"[""check_date_exceeded""]"
True,0e565436-7a06-4890-80be-711ae99d7477,Handreiking begeleiden van cliënten met een matig verstandelijke beperking,BY-52-NK,"De handreiking van de Kennisgroep MVB biedt praktische richtlijnen voor professionals die werken met mensen met een matig verstandelijke beperking. Het document beschrijft de doelgroep, de rol van de begeleider en geeft tips voor dagelijkse ondersteuning, inclusief omgaan met dilemma’s. Daarnaast biedt het kaders voor professioneel handelen en een overzicht van beschikbare hulpbronnen, bedoeld als naslagwerk en reflectie-instrument.",1,0,True,False,20251031150953,True,file,False,False,True,5,PDF document,5,PDF document,True,False,False,False,False,12,Zorg inhoud,Cordaan\Zorg inhoud,published,20261031,False,none,nl-NL,pdf,application/pdf,not_used,
